Slot,Status
1,Occupied
2,Occupied
3,Occupied
4,Occupied
5,Occupied
6,Occupied
7,Occupied
8,Occupied
9,Occupied
10,Occupied
11,Occupied
12,Occupied
13,Occupied
14,Free
15,Occupied
16,Occupied
17,Occupied
18,Free
19,Occupied
20,Occupied
21,Free
22,Free
23,Free
24,Occupied
25,Free
26,Occupied
27,Occupied
28,Free
29,Occupied
30,Occupied
31,Free
32,Occupied
33,Free
34,Occupied
35,Occupied
36,Occupied
37,Free
38,Occupied
39,Free
40,Free
41,Free
42,Free
43,Free
44,Free
45,Free
46,Free
47,Free
48,Free
49,Free
50,Free
51,Free
52,Free
53,Occupied
54,Free
55,Occupied
56,Free
57,Free
58,Occupied
59,Free
60,Free
61,Free
62,Free
63,Free
64,Free
65,Free
66,Free
67,Free
68,Free
69,Free
70,Free
71,Free
72,Free
73,Free
74,Free
75,Free
76,Free
77,Free
78,Free
79,Free
80,Free
81,Free
82,Free
83,Free
84,Free
85,Free
86,Free
87,Free
88,Free
89,Free
90,Free
91,Free
92,Free
93,Free
94,Free
95,Free
96,Free
97,Free
98,Free
99,Free
100,Free
101,Free
102,Free
103,Free
104,Free
105,Free
106,Free
